,Store,Source,Date,Version,Emotion,Rating,Original Reviews,Translated Reviews
0,iOS,Appbot,2017-10-16,9.2,delighted,4,"Generally pretty good. Need some improvement, but fairly well satisfied",. 
1,iOS,Appbot,2017-10-16,9.2,sad,2,"I don’t want to update. I save password and some other data and update will clean it every time.
I know it is hard to fix but I dont like it any way.",. 
2,iOS,Appbot,2017-10-16,9.2,happy,5,Better than chrome and safari. Much better and faster than chrome and safari. Firefox actually cares about your privacy unlike apple and Google.,. 
3,iOS,Appbot,2017-10-15,9.2,,2,落ちるようになった. 前回アプデあたりから頻繁に落ちるようになりました。修正お待ちしています。,. 
4,iOS,Appbot,2017-10-15,9.2,,1,画面タッチの反応が悪い. 以前はそんな事無かった,. 
5,iOS,Appbot,2017-10-15,9.2,meh,4,fixed. App once again functions as needed on image boards as of 10/15/2017. still not perfect but nothing is. Thanks moz for fixing my complaints. still better than internet explorer,. 
6,iOS,Appbot,2017-10-15,9.2,happy,4,Satisfaisant et à améliorer. Le mode navigation privée est très intéressant. Pourrais t'il y avoir une option pour le laisser activer constamment. À chaque que j'ouvre Firefox je doit l'activer manuellement.,. 
7,iOS,Appbot,2017-10-15,9.2,sad,1,Browser Identification. Why isn't there a setting that allows the browser to identify as the desktop version? I hate mobile sites.,. 
8,iOS,Appbot,2017-10-15,9.2,,5,Great. It’s great so I do not know what the others are talking about,. 
9,iOS,Appbot,2017-10-15,9.2,,4,"Проверьте синхронизацию закладок. Благодарю разработчиков за firefox! Давно пользуюсь. Но или что-то не понимаю или не сделал, но нет синхронизация закладок на разных устройствах работает не корректно, после последнего обновления. На мобильном устройстве (iPhone) не вижу всех своих закладок, только 4 папки и то в этих папках или нет вкладок или одна единственная. Уважаемые разработчики, поправьте пожалуйста.",. 
10,iOS,Appbot,2017-10-14,8.3,,5,Top Browser. Stabil und funktioniert wie er soll,. 
11,iOS,Appbot,2017-10-14,9.2,angry,1,"Updates really messed this thing up.. Now it's a piece of crap with way too many bugs. Shoulda just kept it as it was, at least it worked.",. 
12,iOS,Appbot,2017-10-14,9.0,,4,I like it. Thanks to the fox,. 
13,iOS,Appbot,2017-10-14,9.2,happy,4,"Popup Grafik koppieren / Grafik speichern nervt!. Das Popup Grafik koppieren / Grafik speichern nervt total.
Das popt immer beim Scollen auf. Macht das bitte wieder weg.
Danke!

12.10.17
Nach dem heutigen Update funktioniert der Fuchs wieder super!

14.10.17
Leider kommt der Browser mit Facebook nicht klar.
Man kann keine Kommentare posten.
Facebook meckert auch, man verwende einen alten Browser.",. 
14,iOS,Appbot,2017-10-14,9.2,meh,2,Latest update ruined it.. Youtube locks up completely. Other sites incredibly slow. Used to be my favorite browser. What happened?,. 
15,iOS,Appbot,2017-10-14,9.2,,3,问题反馈. 在滑屏的时候只要网页含图片就很容易直接出现复制图片选项。很影响体验,. 
16,iOS,Appbot,2017-10-14,9.2,,1,"Logon info problem. I have to type everything again.....Am I missing something??
Logon info already sync'ed but does not show up....",. 
17,iOS,Appbot,2017-10-14,9.2,meh,3,"Not the worst. Not the best.. Pros:
I can sync between my Mac and phone. 

Cons:
I can’t open links in a new tab for some reason. 
Whenever I browse an image heavy site I keep getting prompts to save an image. When I’m not even pressing down that long. 

If you're looking for a fast and reliable browser I recommend chrome. Firefox is just handy because of the ability to sync. That's literally it.",. 
18,iOS,Appbot,2017-10-13,9.2,sad,2,Mi attendo di meglio. App lenta e poco stabile. Dall'ultimo aggiornamento è peggiorata con anche qualche crash,. 
19,iOS,Appbot,2017-10-13,9.2,angry,1,Firefox for iOS. Tried many many times to open on my iPad and iphone7 . Forgot  my old password . FF said it will email me the link to new password it never did over and over gave up and deleted it far to confusing to install .,. 
20,iOS,Appbot,2017-10-13,9.2,angry,1,"Bad UI, bad browser. Another crappy, crashy browser. Don’t waste your time.",. 
21,iOS,Appbot,2017-10-13,9.2,happy,5,Better than safari. Just better it is for developers or people that wanna view websites accurately,. 
22,iOS,Appbot,2017-10-13,9.1,,1,Andauernde Abstürze. Habe immer wieder Abstürze und dann ein graues Fenster. Es öffnet sich beim scrollen immer wieder das Popup-Fenster mit Grafik speichern/kopieren. Das nervt extrem. Es werden auch Seiten nur ganz kurz geöffnet und dann erscheint sofort ein grauer Bildschirm.,. 
23,iOS,Appbot,2017-10-13,9.2,happy,3,"Lots of improvements. Lots of good improvements over last few releases. Still too many steps to get into bookmarks... also don’t like how there is a “desktop bookmarks” folder, adding another unnecessary step.",. 
24,iOS,Appbot,2017-10-13,9.2,sad,2,Share Sheet is broken. These last two versions broke 1password integration and there appears to be no end in sight. Huge usability issue for me. It was working just fine for so long too.,. 
25,iOS,Appbot,2017-10-13,9.2,,5,"Valeu. Parabéns
Navegador além da expectativa",. 
26,iOS,Appbot,2017-10-12,9.2,meh,4,"Good but some bugs need fixing. The latest update (Oct 2017) has fixed some of the September bugs but it’s not perfect yet. I’m having some difficulty clicking some picture links. I have added 1 more star. 

Firefox for iOS is a stable browser, seems to do everything chrome does. I trust Firefox more than Chrome.",. 
