App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Emotion,Device
Firefox Web Browser,iOS,989804926,1960641171,China,10.3,3,2017-11-30,就那样吧00001,浏览网页假死？？,最近发现 怎么浏览网页时会假死几秒钟？？？,Browse the page suspended animation? ?,Recently found how to browse the web will be suspended animation a few seconds? ? ?,,
Firefox Web Browser,iOS,989804926,1960535621,Australia,10.3,1,2017-11-30,NFSbugs,PLEASE UPDATE 👇🏻,"cause 

newest Firefox browser drains soo much battery for 

-> Mac OS Sierra / High Sierra 

also 

version before didn't wipe battery out sooo fast 

not sure what's changed to drain battery soooooo much faster 

-> 
Thanks Firefox Teams 
->",,,,
Firefox Web Browser,iOS,989804926,1960530177,USA,10.3,2,2017-11-30,dafunkystar,Clunk Clunk clunk,"I'm going to echo much of the review by f001ish.

Used to be fast, now sluggish.
Why change the GUI if it works?
Can no longer copy emails on Craigslist.org for some reason. 
What a mess. Can't you programmers ever leave things alone? Why the need to constantly change things? Go back to college and take a philosophy course. Use those brains.

Guess I'll be test driving other browsers. Thanks.",,,sad,
Firefox Web Browser,iOS,989804926,1960368381,USA,10.3,3,2017-11-30,nitsuj817,Needs faster load up time,Takes like 6 seconds until I can load the app to search. Safari takes 3 seconds,,,,
Firefox Web Browser,iOS,989804926,1960259850,USA,10.3,1,2017-11-30,Jeffreypaul21,Very disappointed,"I use Firefox on my MacBook and it’s great. The IOS app is a whole other story. It is hard to work, basically it’s just too cumbersome.  The bookmarks take too many steps to access and adding and moving between tabs is ridiculous.  Please clean it up as I am sure we’d all like to be consistent in what programs we use across all devices.",,,sad,
Firefox Web Browser,iOS,989804926,1960150900,Portugal,10.3,2,2017-11-30,Juliorolamento2,Now super slow,Love Firefox and I’m using it everywhere since more than a decade now.However with the latest upgrade it seems that is looking for answers even before I end typing anything. Making supper slow and sluggish. Making impossible to use it.,,,meh,
Firefox Web Browser,iOS,989804926,1959570862,Germany,10.3,5,2017-11-30,Davide Lorenzon,Endlich moderne Oberfläche!,"Dieses Update überzeugt auf ganzer Linie! 1Password Plugin läuft wieder, iPhone X Anpassung harmoniert perfekt mit der neuen nutzbaren Displayfläche und die Webseiten bauen sich sehr zügig auf. 

Mit Firefox Sync habe sofort alle Lesezeichen und Verläufe vom Mac auf iPhone und iPad.

Weiter so!",Finally modern surface!,"This update convinces on the whole line! 1Password plugin is running again, iPhone X customization blends perfectly with the new usable display surface and the websites build up very quickly. With Firefox Sync immediately have all bookmarks and gradients from the Mac to iPhone and iPad. Keep it up!",,
Firefox Web Browser,iOS,989804926,1959442311,USA,7.5,2,2017-11-30,Tobias78,No extensions,The main reason for installing Firefox is extensions. Apple boo! Nerfed another great app. 2 starts because they can't control what apple does.,,,,
Firefox Web Browser,iOS,989804926,1959426070,Australia,10.3,4,2017-11-30,jjheklund,Really good,Just need a way too close all tabs at once. Maybe it’s there but I couldn’t find it. Other than that it would be 5 star!,,,delighted,
Firefox Web Browser,iOS,989804926,1959399990,United Kingdom,10.3,2,2017-11-30,MarcusE1W,"Actually a good browser,  but","It sometimes cuts of pages after the first 10-20 lines.
Very annoying. Safari does not do that.
And I think to remember that was not a problem with Firefox ~half a year a go neither.
Mind you, it does not happen all the time, but often enough to be a nuisance, alt least on my iPad mini",,,sad,
Firefox Web Browser,iOS,989804926,1959161116,China,10.3,3,2017-11-30,花色色,移动版无法登录,移动版登录信息输入后，总是报错“意外错误”。但邮箱每次都能收到确认登录信息。然后app上登不上去也没法同步书签那些。,Mobile version can not log in,"Mobile version of the login information is entered, always an error &quot;unexpected error.&quot; However, each time you receive a confirmation email login information. Then the app can not go up nor can you synchronize bookmarks.",,
Firefox Web Browser,iOS,989804926,1959149218,Russia,10.3,5,2017-11-30,✨🤔,Спасибо!,"Отличный браузер! Все замечательно, скорость, удобность. На ноутбуке тоже стоит последняя версия Firefox, и как следствие отличная синхронизация между ними. Благодарю вас. Единственное, здесь в настройках есть возможность поставить пароль и Touch ID, у меня не работает, но это не критично. Успехов Вам!",Thank you!,"Great browser! Everything is wonderful, speed, convenience. The laptop also has the latest version of Firefox, and as a result, excellent synchronization between them. Thank you. The only thing here in the settings is the ability to put a password and a Touch ID, it does not work for me, but it&#39;s not critical. I wish you success!",,
Firefox Web Browser,iOS,989804926,1958919480,Brazil,10.3,3,2017-11-30,denisgodoy,Integração 1Password,"O navegador é bom e muito rápido, mas falta integração com o 1Password. A opção para abrir em outros aplicativos, como no Safari, que para mim é essencial.",1Password Integration,"The browser is good and very fast, but lack integration with 1Password. The option to open in other applications, such as Safari, which for me is essential.",,
Firefox Web Browser,iOS,989804926,1958576554,USA,10.3,2,2017-11-30,iTunesBreaksEveryComputer,User is not protected from Browser Attacks.,"Vulnerable to Canvas Fingerprinting, WebRTC ip disclosure attacks, WebGL Fingerprinting, User Agent and Platform Fingerprinting, Time Zone HTTP Header and Font Fingerprinting, Referrer Leakage, and numerous other Javascript based browser attacks. 

Other browsers have active content blocking that protects against these attacks.",,,meh,
Firefox Web Browser,iOS,989804926,1958352104,Canada,10.3,4,2017-11-29,Toppleded,BUG,"If you leave a webpage open in private browsing and switch back to regular browsing you can see the last webpage you were visiting in private while switching between regular tabs.
Edit: fixed with most recent update.",,,sad,
Firefox Web Browser,iOS,989804926,1958104826,USA,10.3,1,2017-11-29,Bhimava,Pages are rendering wrong,Web pages are getting staggered or distorted while browsing.,,,,
Firefox Web Browser,iOS,989804926,1957916267,USA,10.3,1,2017-11-29,StacyY4,Disgusting and Clunky,New design is clunky and slow. The omnibar and the bookmarks/tabs/settings take up so much screen space that it will make you feel like you’re using and iPhone 4.,,,sad,
Firefox Web Browser,iOS,989804926,1957915453,United Kingdom,10.3,5,2017-11-29,Bluefrogburger,Much better!,The new photon update looks great. Tracking protection always on is appreciated.,,,delighted,
Firefox Web Browser,iOS,989804926,1957750258,China,10.3,2,2017-11-29,FloatSi,同步不能,无效用户是什么鬼，桌面版都正常,Can not be synchronized,"Invalid user is what the ghost, desktop version are normal",,
Firefox Web Browser,iOS,989804926,1957653542,Italy,10.3,3,2017-11-29,Leo Coombes,Bookmarks,Gestione dei segnalibri (cartelle-sottocartelle) davvero scadente.,Bookmarks,Managing bookmarks (folders-subfolders) really poor.,,
