Components,Feature
Reading View,Open
Reading View,Exit
Reading View,Edit View
Reading List,Add
Reading List,Delete
Reading List,View
Desktop View,Open
Desktop View,Exit
Tabs,Open
Tabs,Close
Tabs,View
Bookmark,Bookmark a page
Bookmark,Remove a page
Bookmark,View bookmarks
QR code,Open
QR code,Scan
QR code,Flashlight
QR code,Auto search
Night Mode,Enable
Night Mode,Disable
Top Sites,View
Top Sites,Add
Top Sites,Pin
Page,Find in page
Page,Request desktop site
Page,Reload
Page,Share
Private Mode,Enable
Private Mode,Disable
Accounts,Sign in
Accounts,Log in
Accounts,Sign out
Accounts,Create an account
Accounts,Change/reset password
Accounts,Sync
Accounts,Delete
Default search engine,Change
Default search engine,Search suggestion
Default search engine,Add
Homepage,Set
Homepage,Change
Homepage,Clear
Mail ,Set default mail
Mail ,Change
Block Pop-up windows,Enable
Block Pop-up windows,Disable
Save Logins,Enable
Save Logins,Disable
Logins,Save
Logins,Edit
Logins,Search
Touch ID & Passcode & Password,Enable
Touch ID & Passcode & Password,Disable
Touch ID & Passcode & Password,Change
Tracking Protection/Privacy,Enable
Tracking Protection,Disable
History/cookies/cache,Sync
History/cookies/cache,Delete
Text,Copy
Text,Look Up
Text,Share
Text,Find in page
Image,Open in new tab
Image,Copy link
Image,Share link
Image,Save image
Image,Copy Image
Video,Load
Files,Load
Files,Open in other apps
Link/URL,Open
Link/URL,Share
Link/URL,Copy
Firefox/Browser/App,Like
Firefox/Browser/App,Update
Firefox/Browser/App,Touch
Firefox/Browser/App,Use
Firefox/Browser/App,Download
Firefox/Browser/App,Release
Firefox/Browser/App,Thank
Firefox/Browser/App,Ad
Firefox/Browser/App,Crash
Firefox/Browser/App,icon
Firefox/Browser/App,Quantum
Password,Save
