App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Emotion,Device
Firefox web browser,iOS,989804926,1673338460,Canada,7.5,4,2017-07-08,HNG-Hid,Firefox,Please add Arabic language asap.,,,,
Firefox web browser,iOS,989804926,1673633213,USA,7.5,4,2017-07-08,Farbod-cx,Suggestion!,"Love firefox on pc.. but lack of few features makes it a bit difficult to use it on my iPhone..

* please add a gesture function.. especially for ""next tab"" and previous tab""
* or improve UI design a bit more (for every new tab, I have to move my thumb up and its not a very convenient way to change my tabs). I have an iPhone 6s+ btw.
*A ""tab browser"" feature on the lower or middle area of the screen would have been nice (like a small button on the lower left or the lower right side of the screen).
*I know iOS has a ""go to the top function"" but again its on top and hard to use, especially when firefox  runs in full screen mode.

Cheers!",,,happy,
Firefox web browser,iOS,989804926,1673734688,Finland,7.5,5,2017-07-08,Yashasvi_r,It's Firefox!!,"Works well! Sync is awesome, auto login from desktop fails on mobile sites though.",,,delighted,
Firefox web browser,iOS,989804926,1674335632,China,7.5,1,2017-07-08,蓝潇枫,不说别的，账号都登入不上去。,邮箱的验证码发送给我，我输入了。就报错误了，未知错误。用个JB,"Do not say anything else, the account is not login up.","Mailbox verification code sent to me, I entered it. Reported wrong, unknown error. With a JB",,
Firefox web browser,iOS,989804926,1674580484,USA,7.5,5,2017-07-08,Firefox8821,I'm never changing browsers,This is a truly outstanding app. I am a full on mozilla supporter and have found no problems with the whole time I've used it!,,,happy,
Firefox web browser,iOS,989804926,1674649099,China,7.5,5,2017-07-09,4.26永不忘,好用 非常棒,好的一批 看大片都是这个浏览器看的,Easy to use very good,Good to see a large number of this browser is to see,,
Firefox web browser,iOS,989804926,1675397503,United Kingdom,7.5,3,2017-07-09,kyronicaaa,Annoying,"URL auto complete is broken.

1 in 10 websites displays an error complaint about an invalid URL address but loads fine.",,,sad,
Firefox web browser,iOS,989804926,1675300874,Italy,7.5,2,2017-07-09,Betta01.03,Estensioni,"Do due stelle solo per le estensioni, aggiungetele e sarebbe perfetta",Extensions,"Do two stars just for the extensions, add them and it would be perfect",,
Firefox web browser,iOS,989804926,1675880944,USA,7.5,5,2017-07-10,Baidom,Firefix,This app is amazing!!!!! Totally 5 Starr's,,,,
Firefox web browser,iOS,989804926,1675893045,France,7.5,3,2017-07-10,Clibsy93,Clibsy93,"Bonne application mais impossible de protéger avec un mot de passe ou un code. Normalement on doit pouvoir protéger l'accès à l'application avec un code mais celui-ci n'est pas pris en compte du coup n'importe qui peut ouvrir l'application à n'importe quel moment et le code ne sert finalement à rien 😤. 
🚨 Il serait judicieux de faire un correctif point de vue sécurit🚨",Clibsy93,Good application but can not protect with a password or a code. Normally one should be able to protect the access to the application with a code but this one is not taken into account of the blow anyone can open the application at any moment and the code does not serve finally to Nothing. 🚨 It would be wise to make a corrective safety point of view,sad,
Firefox web browser,iOS,989804926,1676201917,USA,7.5,1,2017-07-10,Heflin94,Open in,"Sooo been an apple guy my whole life, but was having trouble with a server using safari so thought I'd try Firefox.
Using fire fox on a desktop I do that everyday but on my phone it felt alien, like I was using Internet explorer 😷🤒.
but then I tried to download a file but I needed to open it in a specific app which was impossible to do with your app so it was completely useless to me. I do not think my scenario would apply to most people but yeah I can't use it.",,,sad,
Firefox web browser,iOS,989804926,1676351802,Australia,7.5,5,2017-07-10,Tonygtg,Great - thank you Firefox,Great - thank you Firefox,,,delighted,
Firefox web browser,iOS,989804926,1676895282,USA,7.5,5,2017-07-10,GreatSport,Love it!! PLEASE add content blocking!!!,"Pleas FF team:

1. Add content blocking. I keep having to use Safari since FF cannot block content and some sites are almost unusable on mobile due to the number of ads. Plus, I don't like being followed around the web :(

2. Mobile/Desktop bookmark sync. Please, please, please make bookmarks I create on FF mobile sync to my desktop installs and vice versa. I keep having to use Google Chrome for this.

If you could add those 2 features, I could switch 100% to FF as my mobile web browser!!

Wish list feature: Mobile extensions. Not sure if this is even possible, but even a small number of high-quality add-ons would be awesome!

❤️ you FF 😊",,,happy,
Firefox web browser,iOS,989804926,1677121748,France,7.5,1,2017-07-10,roberuberu,Impossible de déplacer les onglets,Impensable sur un navigateur aujourd'hui... Comment voulez faire une recherche si vous ne pouvez pas réorganiser vos onglets pour en mettre de côté ??,Unable to move tabs,Unthinkable on a browser today ... How do you do a search if you can not rearrange your tabs to set aside ??,,
Firefox web browser,iOS,989804926,1679207117,China,7.5,3,2017-07-12,大风起兮裙飞扬a,中外有别,我在电脑端的火狐是英文版的，界面很清爽。之前装过中国版的，不是一个档次。今天，怀着对火狐的好感下载了ios版，略失望。搜索引擎默认百度，还有淘宝京东渣浪等一批网站 卧槽。赶紧卸载。是时候申请一个美版 Apple ID了,Chinese and foreign are different,"I am in the computer side of the Firefox is the English version of the interface is very refreshing. Before installed the Chinese version, not a grade. Today, with the good impression of Firefox downloaded ios version, slightly disappointed. Search engine default Baidu, as well as Taobao Jingdong Ma Lang and a number of sites lying groove. Quickly uninstall. It&#39;s time to apply for a US version of Apple ID",,
Firefox web browser,iOS,989804926,1678327574,Thailand,7.5,5,2017-07-11,Dangeralg,Gg,อันนี้สิของจริง เจอ firefox ปลอมมานานละ,Gg,This is actually a fake firefox for a long time.,,
