App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Emotion,Device
Firefox Web Browser,iOS,989804926,2289488029,Japan,10.6,3,2018-03-10,ラーマ,ブックマークが消えたようになる,Firefox Syncを使ってる状態で、通信不調だと、同期しているブックマーク以外に、アプリで保存しているブックマークまで消える。だが通信環境のよいところで同期すると、同期ブックマークとアプリ保存ブックマークも復活する。アプリ保存分が同期に影響されるのが不便。そして焦る。,The bookmark will disappear,"If you are using Firefox Sync and communication is not working up, bookmarks saved in the application will disappear in addition to the bookmarks that are synchronized. However, if you synchronize at a place with good communication environment, sync bookmarks and application saving bookmarks will be restored. It is inconvenient that the application saved amount is influenced by synchronization. And I will be impatient.",,
Firefox Web Browser,iOS,989804926,2289954757,USA,10.6,1,2018-03-10,Kliffy77,Horrible!,"Awful redesign, Unable to pinch zoom, Horrible tabs shape & mechanism and no add ones. I rate it 1 star",,,angry,
Firefox Web Browser,iOS,989804926,2290591921,China,10.6,5,2018-03-10,让他体育,好,好很好用的,it is good,Good to use,,
Firefox Web Browser,iOS,989804926,2291939369,Japan,10.6,3,2018-03-10,山菜婆さん,無駄な機能,"操作は特に問題ないが、無駄な機能が多くて見づらい、理解しにくい場面が多々ある。-1
あと、履歴まとめて消せなくね？どゆこと？もしまとめて消せるとしても分かりにくすぎです。-1
動きが快適なぶんとても残念。
シンプルイズベストだと自分は思いますけどね。",Useless function,"Although there are no particular problems with the operation, there are many scenes that are difficult to understand because there are many wasted functions and difficult to see. -1 After that, you can not erase the history collectively? How are you? Even if it can be erased collectively it is too confusing. -1 Very pleasant movement. I think that it is simple is best though.",,
Firefox Web Browser,iOS,989804926,2291998089,France,10.6,3,2018-03-10,JCSolus,NFC reader is missing,"It is a good idea to use 3D Touch to read QR codes.
Now you have to add 3D Touch to read NFC labels.
The benefit is the same but the experience is even better !",,,happy,
Firefox Web Browser,iOS,989804926,2292141005,United Kingdom,10.6,1,2018-03-10,gert654,No option for privacy settings,"Doesn't give you an option to set privacy, like it does in desktop version. For this reason I'm not going to use it.",,,meh,
Firefox Web Browser,iOS,989804926,2291426791,United Kingdom,10.6,2,2018-03-10,Jimbob Mourn,Messy,"The app in its self is quick, but the page is messy and untidy; you can easily press the wrong thing if you are using a small screen

Good try though",,,meh,
Firefox Web Browser,iOS,989804926,2291333595,Malaysia,10.6,1,2018-03-10,elvenear,Issue on lot of website now...,"A bit disappointed with ff now. Used it for like 15years never got problem.. after quantum update almost got issue everyday.. the mobile is the same as the desktop ff quantum.. Got lot of issue on lot of website now. For example the menu button gone, or image missing. Lot of button at lot of website that using some js (maybe) not working anymore. Tried same website at chrome and safari and all work fine. If can let me know whats the solution, it will be great. Thanks.",,,angry,
Firefox Web Browser,iOS,989804926,2287378311,USA,10.6,1,2018-03-09,MahmoudJoseph93,Fix,The App is mot working on my iphone 6s !!,,,sad,
Firefox Web Browser,iOS,989804926,2286881888,Argentina,10.6,1,2018-03-09,Nahuelst,Cada vez peor,"Lo uso desde las primeras versiones, siempre fue el mejor para mi gusto. Ahora, por querer imitar a la basura de Chrome, da pena como funciona, cada actualización peor.
Firefox dejó de tener su esencia propia, esta versión directamente se abre y queda bloqueada en mi Ipad. Ya lo desinstalé.
En la PC ya casi no lo uso porque casi todas las app indispensables que usaba, ya no son compatibles, ni es compatible con un programa comprado, además que su aspecto es realmente muy feo y vacío.
Firefox, te digo bye, bye, imitar a cosas ajenas restringe la calidad propia.",Every time worse,"I use it from the first versions, it was always the best for my taste. Now, for wanting to imitate Chrome trash, it hurts how it works, each update worse. Firefox stopped having its own essence, this version is opened directly and is blocked on my Ipad. I already uninstalled it. On the PC I almost did not use it because almost all the indispensable apps I used, are no longer compatible, nor compatible with a purchased program, besides that its appearance is really very ugly and empty. Firefox, I tell you bye, bye, imitate other people&#39;s things restricts own quality.",sad,
