,Store,Source,Date,Version,Rating,Original Reviews,Translated Reviews,Sentiment,Components,Features,Keywords,Verb Phrases,Noun Phrases,Actions
0,iOS,Appbot,2017-11-17,10.2,1.0,"Ужасно!. Смените фон у иконки: уберите черный!!! 
Ужасно тормозит при наборе поискового запроса при отключенных предложениях поисковых систем. Раньше такого не было.","Terrible!. Change the background of the icon: remove the black !!! Terribly hampered when typing a search query with disconnected offers of search engines. Previously, this was not.",Negative,"'Firefox Browser', 'Default search engine', 'Default search engine', 'Default search engine'","'General', 'Settings', 'Settings', 'Settings'","icon, search engine, engine, search","Change the background of the icon, remove the black Terribly, typing a search query with disconnected offers of search engines","the background, the icon, the black Terribly, a search, query, disconnected offers, search, engines","'Change the background of the icon', 'typing a search query with disconnected offers of search engines', 'typing a search query with disconnected offers of search engines', 'typing a search query with disconnected offers of search engines'"
1,iOS,Appbot,2017-11-17,10.2,3.0,New update ruined it. Not only did the update make the app significantly slower but the new changed button layout seems inconvenient and unnatural.,New update ruined it. Not only did the update make the app significantly slower but the new changed button layout seems inconvenient and unnatural.,Negative,"'Firefox Browser', 'Firefox Browser', 'Firefox Browser'","'General', 'General', 'General'","Update, button, app","did the update, make the app, new changed button layout","New, update, the update, the app, button, layout","'did the update', 'new changed button layout', 'make the app'"
2,iOS,Appbot,2017-11-17,10.2,5.0,built in dark mode is nice. I like it,built in dark mode is nice. I like it,Positive,'Night Mode','Settings',dark mode,built in dark mode,dark mode,'built in dark mode'
3,iOS,Appbot,2017-11-16,10.2,1.0,"Remove the ads. ""We've added a new look"" aka we sold out and added ads. Your browser is actually so good that I'd be happy to pay a small fee for the removal of them. At least have the decency and give us that option.","Remove the ads. ""We've added a new look"" aka we sold out and added ads. Your browser is actually so good that I'd be happy to pay a small fee for the removal of them. At least have the decency and give us that option.",Negative,"'Firefox Browser', 'Tracking Protection'","'General', 'Privacy/Security'","look, ads","Remove the ads, added a new look, added ads, pay a small fee for the removal, have the decency","the ads, a new look, ads, browser, a small fee, the removal, the decency, that option","'added a new look', 'Remove the ads', 'added a new look', 'added ads'"
4,iOS,Appbot,2017-11-16,10.2,5.0,Excellent!. Oh how I like the new Firefox that is faster and better than ever! My default browser on macOS and the preferred one on iOS. Well done Mozilla!,Excellent!. Oh how I like the new Firefox that is faster and better than ever! My default browser on macOS and the preferred one on iOS. Well done Mozilla!,Positive,"'Firefox Browser', 'Firefox Browser'","'General', 'General'","Firefox, Like","like the new Firefox, done Mozilla","Excellent, the new Firefox, My, default, browser, macOS, the preferred one, iOS, Mozilla","'like the new Firefox', 'like the new Firefox'"
5,iOS,Appbot,2017-11-16,10.2,1.0,How to Get Rid of Pocket?. How do I get rid of the so-called Pocket feature?  It doesn't even display websites I'm interested in.  I WANT TO CONTROL MY HOME PAGE!!!,How to Get Rid of Pocket?. How do I get rid of the so-called Pocket feature?  It doesn't even display websites I'm interested in.  I WANT TO CONTROL MY HOME PAGE!!!,Negative,"'Pocket', 'Home page', 'Page'","'New Tab', 'Settings', 'Utilities'","pocket, home page, page","Get Rid of Pocket, display websites, CONTROL MY HOME PAGE","Rid, Pocket, called Pocket, feature, websites, MY, HOME, PAGE","'Get Rid of Pocket', 'CONTROL MY HOME PAGE', 'CONTROL MY HOME PAGE'"
6,iOS,Appbot,2017-11-16,10.2,5.0,"Gefällt mir. Insgesamt brauchbar, auch wenn ihr und da noch etwas verbessert werden könnte.","Gefällt mir. All in all useful, even if you could improve something there and there.",Positive,'Firefox Browser','General',Use,improve something,"Gefällt, mir, something",'in all useful'
7,iOS,Appbot,2017-11-16,10.2,1.0,Bookmarks and top sites don’t work. Pinning sites to top sites and adding bookmarks aren’t working properly. Instead of a bookmark bringing me to a site it brings me to the google search for the site. Pinning to top sites just doesn’t work at all. Two fundamental browser functions that are broken. Deleted until fixed. Going back to chrome I guess.,Bookmarks and top sites don’t work. Pinning sites to top sites and adding bookmarks aren’t working properly. Instead of a bookmark bringing me to a site it brings me to the google search for the site. Pinning to top sites just doesn’t work at all. Two fundamental browser functions that are broken. Deleted until fixed. Going back to chrome I guess.,Negative,"'Bookmark', 'Top Sites', 'Tracking Protection'","'Bookmark', 'New Tab', 'Privacy/Security'","bookmark, Top site, ads","don t work, Pinning sites, top sites, adding bookmarks, top sites, doesn t work","Bookmarks, top sites, t work, sites, sites, bookmarks, a bookmark, a site, the google, search, the site, sites, t work, fundamental browser, functions","'adding bookmarks', 'top sites', 'top sites', 'adding bookmarks'"
8,iOS,Appbot,2017-11-16,10.2,1.0,"Absolut hässlich .... Die Windows Version habt ihr toll hinbekommen. Ich habe Chrome deinstalliert. 
Aber an der IOS Version finde ich das Design Mega hässlich. Die Schaltflächen und leisten oben und unten stehen im Vordergrund und sehen aus wie als wären sie für Rentner gemacht. Safari ist viel Moderner.",Absolutely ugly .... The Windows version you have done great. I uninstalled Chrome. But on the IOS version I find the design mega ugly. The buttons and afford up and down are in the foreground and look like they were made for retirees. Safari is a lot of modern.,Neutral,"'Firefox Browser', 'Firefox Browser'","'General', 'General'","design, chrome","uninstalled Chrome, find the design, are in the foreground, made for retirees, is a lot","The Windows, version, Chrome, the IOS, version, the design, The buttons, the foreground, retirees, Safari, a lot","'find the design', 'uninstalled Chrome'"
9,iOS,Appbot,2017-11-16,10.2,1.0,Menus trop gros. Depuis la dernière mise à jour le contours des boutons de l’application sont trop gros.,Menus too big. Since the last update the contours of the application buttons are too big.,Negative,'Firefox Browser','General',button,,"Menus, the contours, the application, buttons",'the last update the contours of the application buttons'
